x,y,yaw,speed
4.422519,-0.168920,0.556547,0.400000
4.529074,-0.125373,0.419614,0.400000
4.632661,-0.075174,0.447355,0.400000
4.736637,-0.025785,0.424378,0.400000
4.842421,0.019603,0.402064,0.400000
4.948497,0.064304,0.354102,0.400000
5.058142,0.099352,0.322502,0.400000
5.166829,0.137264,0.316130,0.400000
5.276912,0.170911,0.299692,0.400000
5.386787,0.205230,0.298862,0.400000
5.496925,0.238695,0.283225,0.400000
5.607819,0.269561,0.267477,0.400000
5.718956,0.299541,0.286277,0.400000
5.828612,0.334555,0.315688,0.400000
5.937795,0.371016,0.308308,0.400000
6.047955,0.404407,0.300028,0.400000
6.157726,0.439056,0.281792,0.400000
6.269024,0.468406,0.149596,0.400000
6.384031,0.473165,-0.034721,0.400000
6.498427,0.460438,-0.201702,0.400000
6.608643,0.427236,-0.335002,0.400000
6.715647,0.384818,-0.445971,0.400000
6.815846,0.328173,-0.594069,0.400000
6.905805,0.256373,-0.757244,0.400000
6.982554,0.170597,-0.921045,0.400000
7.044630,0.073663,-1.044351,0.400000
7.098118,-0.028256,-1.151091,0.400000
7.138244,-0.136131,-1.297031,0.400000
7.160144,-0.249134,-1.427970,0.400000
7.170974,-0.363726,-1.533113,0.400000
7.168803,-0.478810,-1.639027,0.400000
7.155298,-0.593116,-1.747615,0.400000
7.128382,-0.705026,-1.865829,0.400000
7.088479,-0.812985,-1.992023,0.400000
7.034471,-0.914628,-2.115438,0.400000
6.969401,-1.009562,-2.244122,0.400000
6.891301,-1.094110,-2.370703,0.400000
6.804518,-1.169730,-2.455153,0.400000
6.713310,-1.239950,-2.511507,0.400000
6.618573,-1.305329,-2.568943,0.400000
6.519919,-1.364632,-2.636125,0.400000
6.417285,-1.416727,-2.726501,0.400000
6.309581,-1.457328,-2.826506,0.400000
6.198644,-1.487992,-2.930186,0.400000
6.084890,-1.505549,-3.033956,0.400000
5.970006,-1.512697,-3.110019,0.400000
5.854902,-1.512813,3.103786,0.400000
5.740134,-1.504002,3.033420,0.400000
5.626146,-1.487971,3.000539,0.400000
5.512202,-1.471637,3.011728,0.400000
5.397887,-1.458161,3.053862,0.400000
5.282975,-1.451475,3.108400,0.400000
5.167869,-1.450523,3.127469,0.400000
5.052782,-1.448223,3.131150,0.400000
4.937672,-1.448119,-3.135204,0.400000
4.822574,-1.449694,-3.117255,0.400000
4.707539,-1.453721,-3.072518,0.400000
4.593058,-1.465573,-2.979574,0.400000
4.480771,-1.490787,-2.848262,0.400000
4.373302,-1.531949,-2.702512,0.400000
4.273054,-1.588343,-2.508837,0.400000
4.189163,-1.666986,-2.258528,0.400000
4.128285,-1.764562,-2.022034,0.400000
4.089382,-1.872898,-1.908296,0.400000
4.052055,-1.981787,-1.887452,0.400000
4.017702,-2.091646,-1.848026,0.400000
3.989077,-2.203106,-1.758897,0.400000
3.974762,-2.317230,-1.596105,0.400000
3.983284,-2.431950,-1.408166,0.400000
4.011859,-2.543321,-1.203587,0.400000
4.065238,-2.645008,-0.946539,0.400000
4.144922,-2.728039,-0.760610,0.400000
4.231819,-2.803529,-0.702688,0.400000
4.320588,-2.876810,-0.698339,0.400000
4.408140,-2.951542,-0.703565,0.400000
4.496132,-3.025742,-0.674534,0.400000
4.587868,-3.095263,-0.625250,0.400000
4.682741,-3.160448,-0.591253,0.400000
4.778992,-3.223579,-0.566142,0.400000
4.877013,-3.283916,-0.529664,0.400000
4.977610,-3.339863,-0.492190,0.400000
5.079862,-3.392684,-0.435336,0.400000
5.186096,-3.436829,-0.322661,0.400000
5.297522,-3.465458,-0.182906,0.400000
