x,y,yaw,speed
0.086629,0.952489,-2.810742,0.500000
0.007413,0.925280,-2.778449,0.500000
-0.070885,0.895527,-2.749591,0.500000
-0.148291,0.863528,-2.723934,0.500000
-0.224850,0.829553,-2.701250,0.500000
-0.300620,0.793851,-2.681241,0.500000
-0.375659,0.756640,-2.663685,0.500000
-0.450035,0.718116,-2.648330,0.500000
-0.523810,0.678456,-2.634960,0.500000
-0.597047,0.637813,-2.623335,0.500000
-0.669808,0.596321,-2.613301,0.500000
-0.742149,0.554102,-2.604645,0.500000
-0.814121,0.511257,-2.597225,0.500000
-0.885774,0.467880,-2.590886,0.500000
-0.957150,0.424049,-2.585515,0.500000
-1.028290,0.379836,-2.580990,0.500000
-1.099228,0.335302,-2.577189,0.500000
-1.169998,0.290498,-2.574078,0.500000
-1.240627,0.245474,-2.571525,0.500000
-1.311141,0.200270,-2.569499,0.500000
-1.381564,0.154923,-2.567918,0.500000
-1.451914,0.109465,-2.566748,0.500000
-1.522212,0.063924,-2.565925,0.500000
-1.592472,0.018326,-2.565407,0.500000
-1.662708,-0.027309,-2.565145,0.500000
-1.732933,-0.072962,-2.565115,0.500000
-1.803155,-0.118617,-2.565224,0.500000
-1.873384,-0.164265,-2.565462,0.500000
-1.943623,-0.209896,-2.565733,0.500000
-2.013874,-0.255508,-2.566010,0.500000
-2.084138,-0.301100,-2.566187,0.500000
-2.154410,-0.346680,-2.566178,0.500000
-2.224681,-0.392260,-2.565907,0.500000
-2.294940,-0.437860,-2.565249,0.500000
-2.365170,-0.483506,-2.564082,0.500000
-2.435345,-0.529233,-2.562281,0.500000
-2.505438,-0.575087,-2.559686,0.500000
-2.575413,-0.621123,-2.556158,0.500000
-2.645224,-0.667405,-2.551494,0.500000
-2.714818,-0.714013,-2.545542,0.500000
-2.784135,-0.761034,-2.538114,0.500000
-2.853100,-0.808568,-2.528994,0.500000
-2.921628,-0.856730,-2.518013,0.500000
-2.989623,-0.905640,-2.504963,0.500000
-3.056975,-0.955434,-2.489649,0.500000
-3.123556,-1.006254,-2.471890,0.500000
-3.189224,-1.058248,-2.451512,0.500000
-3.253819,-1.111570,-2.428371,0.500000
-3.317163,-1.166371,-2.402322,0.500000
-3.379057,-1.222804,-2.373243,0.500000
-3.439285,-1.281012,-2.341111,0.500000
-3.497612,-1.341126,-2.305860,0.500000
-3.553784,-1.403257,-2.267506,0.500000
-3.607532,-1.467497,-2.226154,0.500000
-3.658578,-1.533904,-2.181874,0.500000
-3.706635,-1.602505,-2.134919,0.500000
-3.751419,-1.673287,-2.085474,0.500000
-3.792650,-1.746195,-2.033864,0.500000
-3.830064,-1.821132,-1.980423,0.500000
-3.863423,-1.897962,-1.925519,0.500000
-3.892515,-1.976507,-1.869533,0.500000
-3.917166,-2.056556,-1.812845,0.500000
-3.937243,-2.137873,-1.755831,0.500000
-3.952653,-2.220202,-1.698823,0.500000
-3.963347,-2.303275,-1.642065,0.500000
-3.969311,-2.386822,-1.585823,0.500000
-3.970570,-2.470571,-1.530200,0.500000
-3.967170,-2.554261,-1.475301,0.500000
-3.959184,-2.637639,-1.421143,0.500000
-3.946696,-2.720462,-1.367660,0.500000
-3.929798,-2.802498,-1.314743,0.500000
-3.908585,-2.883527,-1.262252,0.500000
-3.883149,-2.963331,-1.209974,0.500000
-3.853579,-3.041696,-1.157701,0.500000
-3.819954,-3.118411,-1.105199,0.500000
-3.782350,-3.193254,-1.052243,0.500000
-3.740836,-3.266002,-0.998575,0.500000
-3.695480,-3.336418,-0.944022,0.500000
-3.646352,-3.404257,-0.888413,0.500000
-3.593531,-3.469260,-0.831619,0.500000
-3.537103,-3.531160,-0.773600,0.500000
-3.477182,-3.589684,-0.714342,0.500000
-3.413900,-3.644557,-0.653934,0.500000
-3.347420,-3.695509,-0.592560,0.500000
-3.277940,-3.742287,-0.530419,0.500000
-3.205690,-3.784661,-0.467852,0.500000
-3.130931,-3.822434,-0.405195,0.500000
-3.053953,-3.855452,-0.342874,0.500000
-2.975070,-3.883611,-0.281323,0.500000
-2.894603,-3.906865,-0.220942,0.500000
-2.812879,-3.925221,-0.162173,0.500000
-2.730219,-3.938745,-0.105376,0.500000
-2.646924,-3.947555,-0.050866,0.500000
-2.563272,-3.951814,0.001098,0.500000
-2.479513,-3.951722,0.050317,0.500000
-2.395860,-3.947509,0.096631,0.500000
-2.312490,-3.939428,0.140018,0.500000
-2.229551,-3.927738,0.180420,0.500000
-2.147151,-3.912708,0.217891,0.500000
-2.065371,-3.894602,0.252459,0.500000
-1.984268,-3.873680,0.284261,0.500000
-1.903869,-3.850190,0.313400,0.500000
-1.824189,-3.824367,0.339990,0.500000
-1.745224,-3.796435,0.364205,0.500000
-1.666959,-3.766599,0.386175,0.500000
-1.589368,-3.735052,0.406056,0.500000
-1.512419,-3.701968,0.423997,0.500000
-1.436075,-3.667508,0.440136,0.500000
-1.360299,-3.631821,0.454648,0.500000
-1.285048,-3.595039,0.467622,0.500000
-1.210281,-3.557283,0.479210,0.500000
-1.135956,-3.518663,0.489547,0.500000
-1.062034,-3.479277,0.498732,0.500000
-0.988477,-3.439214,0.506878,0.500000
-0.915249,-3.398552,0.514082,0.500000
-0.842316,-3.357365,0.520462,0.500000
-0.769647,-3.315713,0.526082,0.500000
-0.697213,-3.273653,0.531029,0.500000
-0.624989,-3.231236,0.535401,0.500000
-0.552950,-3.188503,0.539248,0.500000
-0.481076,-3.145493,0.542648,0.500000
-0.409349,-3.102239,0.545679,0.500000
-0.337754,-3.058768,0.548374,0.500000
-0.266275,-3.015104,0.550801,0.500000
-0.194903,-2.971267,0.553044,0.500000
-0.123630,-2.927270,0.555120,0.500000
-0.052448,-2.883124,0.557099,0.500000
0.018647,-2.838838,0.559043,0.500000
0.089655,-2.794414,0.561027,0.500000
0.160575,-2.749849,0.563066,0.500000
0.231404,-2.705140,0.565287,0.500000
0.302134,-2.660274,0.567712,0.500000
0.372754,-2.615236,0.570473,0.500000
0.443250,-2.570003,0.573620,0.500000
0.513603,-2.524549,0.577288,0.500000
0.583789,-2.478837,0.581575,0.500000
0.653779,-2.432824,0.586598,0.500000
0.723536,-2.386460,0.592520,0.500000
0.793017,-2.339685,0.599466,0.500000
0.862173,-2.292427,0.607622,0.500000
0.930940,-2.244607,0.617154,0.500000
0.999248,-2.196135,0.628229,0.500000
1.067016,-2.146908,0.641089,0.500000
1.134144,-2.096814,0.655900,0.500000
