x,y,yaw,speed
-0.026529,0.560287,-2.838305,3.453197
-0.112598,0.533352,-2.810386,3.530677
-0.197881,0.504026,-2.784058,3.606492
-0.282362,0.472465,-2.759466,3.680746
-0.366043,0.438835,-2.735175,3.753532
-0.448883,0.403182,-2.713043,3.824934
-0.530914,0.365705,-2.694579,3.895028
-0.612240,0.326719,-2.677983,3.963883
-0.692907,0.286389,-2.663204,4.000000
-0.772971,0.244871,-2.648486,4.000000
-0.852415,0.202179,-2.637472,4.000000
-0.931384,0.158615,-2.628046,4.000000
-1.009939,0.114308,-2.620034,4.000000
-1.088137,0.069373,-2.612933,4.000000
-1.166014,0.023883,-2.607112,4.000000
-1.243625,-0.022059,-2.602813,4.000000
-1.321037,-0.068334,-2.599351,4.000000
-1.398289,-0.114876,-2.596580,4.000000
-1.475412,-0.161633,-2.594083,4.000000
-1.552418,-0.208582,-2.592276,4.000000
-1.629338,-0.255671,-2.590663,4.000000
-1.706183,-0.302883,-2.589061,4.000000
-1.782952,-0.350218,-2.587174,3.982209
-1.859632,-0.397698,-2.584830,3.913675
-1.936200,-0.445358,-2.582112,3.843920
-2.012638,-0.493226,-2.578697,3.772875
-2.088912,-0.541354,-2.574423,3.700466
-2.164980,-0.589808,-2.568233,3.626612
-2.240746,-0.638732,-2.561334,3.551222
-2.316173,-0.688177,-2.553133,3.474197
-2.391192,-0.738239,-2.543400,3.395425
-2.465720,-0.789029,-2.531195,3.314782
-2.539622,-0.840724,-2.516351,3.232128
-2.612748,-0.893510,-2.500614,3.147304
-2.685034,-0.947440,-2.482752,3.060131
-2.756345,-1.002653,-2.462646,2.970401
-2.826532,-1.059288,-2.436855,2.877874
-2.895234,-1.117713,-2.410866,2.782273
-2.962393,-1.177903,-2.382866,2.683270
-3.027839,-1.239949,-2.352489,2.580473
-3.091372,-1.303953,-2.318061,2.473408
-3.152663,-1.370107,-2.280111,2.361493
-3.211400,-1.438538,-2.244331,2.244005
-3.267649,-1.509024,-2.207907,2.120020
-3.321294,-1.581511,-2.170915,1.988318
-3.372224,-1.655935,-2.127510,1.847246
-3.419875,-1.732498,-2.084704,1.694472
-3.464204,-1.811025,-2.037170,1.526494
-3.504748,-1.891564,-1.981346,1.337601
-3.540734,-1.974237,-1.953655,1.117221
-3.574042,-2.056941,-2.555044,0.844527
-3.649156,-2.106860,-2.555044,1.119983
-3.724271,-2.156779,-2.555044,1.339962
-3.799386,-2.206698,-2.555044,1.528605
