x,y,yaw,speed
-0.034161,0.685925,-2.593903,0.400000
-0.138160,0.622493,-2.593903,0.400000
-0.241545,0.559435,-2.593903,0.400000
-0.356373,0.489398,-2.593903,0.400000
-0.455867,0.393620,-2.581538,0.400000
-0.625686,0.381544,-2.607632,0.400000
-0.735481,0.354257,-2.621041,0.400000
-0.817138,0.292869,-2.603214,0.400000
-0.929554,0.221581,-2.598594,0.400000
-1.029716,0.163434,-2.600235,0.400000
-1.138696,0.088929,-2.589554,0.400000
-1.233784,0.026768,-2.583936,0.400000
-1.339853,-0.046597,-2.573776,0.400000
-1.438092,-0.117254,-2.572693,0.400000
-1.534694,-0.187413,-2.568981,0.400000
-1.623102,-0.244827,-2.566446,0.400000
-1.716927,-0.303521,-2.570927,0.400000
-1.806801,-0.361222,-2.570452,0.400000
-1.894132,-0.420171,-2.564556,0.400000
-1.981991,-0.475687,-2.568195,0.400000
-2.082563,-0.540613,-2.568350,0.400000
-2.176005,-0.605101,-2.563408,0.400000
-2.269963,-0.667986,-2.566536,0.400000
-2.369159,-0.744145,-2.603307,0.400000
-2.481865,-0.817670,-2.602680,0.400000
-2.588053,-0.880461,-2.611478,0.400000
-2.686849,-0.929661,-2.670468,0.400000
-2.794454,-0.991139,-2.666497,0.400000
-2.900967,-1.046353,-2.665968,0.400000
-3.023229,-1.105888,-2.672777,0.400000
-3.136802,-1.161179,-2.675873,0.400000
-3.240244,-1.214693,-2.656620,0.400000
-3.343986,-1.257895,-2.596149,0.400000
-3.444580,-1.305991,-2.525696,0.400000
-3.536618,-1.359346,-2.522391,0.400000
-3.630491,-1.430606,-2.467054,0.400000
-3.719167,-1.498788,-2.377966,0.400000
-3.799163,-1.568723,-2.281119,0.400000
-3.877991,-1.651249,-2.188990,0.400000
-3.922479,-1.753334,-2.071493,0.400000
-3.955339,-1.854588,-1.967034,0.400000
-3.995023,-1.964088,-1.959615,0.400000
-4.024736,-2.072450,-1.946930,0.400000
-4.056280,-2.179277,-1.935940,0.400000
-4.073661,-2.280061,-1.921932,0.400000
-4.092209,-2.391490,-1.897396,0.400000
-4.100609,-2.516593,-1.808000,0.400000
-4.093597,-2.636837,-1.666568,0.400000
-4.075026,-2.747494,-1.531978,0.400000
-4.046993,-2.852966,-1.406351,0.400000
-4.002886,-2.961653,-1.283137,0.400000
-3.928525,-3.080981,-1.172494,0.400000
-3.884394,-3.190054,-1.173336,0.400000
-3.806997,-3.297828,-1.136477,0.400000
