x,y,yaw,speed
-3.976701,-2.558109,-2.099689,0.400000
0.338018,0.933847,-2.626045,0.400000
0.237149,0.965585,-2.601126,0.400000
0.134730,0.931212,-2.583736,0.400000
0.020385,0.859516,-2.583497,0.400000
-0.080012,0.797599,-2.589650,0.400000
-0.189811,0.735626,-2.598441,0.400000
-0.279169,0.679730,-2.595284,0.400000
-0.410271,0.601610,-2.581172,0.400000
-0.519346,0.542987,-2.572231,0.400000
-0.635114,0.467274,-2.567377,0.400000
-0.724114,0.406573,-2.558168,0.400000
-0.805691,0.346655,-2.554683,0.400000
-0.901466,0.287729,-2.549644,0.400000
-1.020974,0.203683,-2.539419,0.400000
-1.122797,0.138566,-2.544755,0.400000
-1.211106,0.086206,-2.544394,0.400000
-1.313701,0.018596,-2.544533,0.400000
-1.397340,-0.044172,-2.541619,0.400000
-1.510672,-0.108841,-2.551121,0.400000
-1.621090,-0.183943,-2.549206,0.400000
-1.730203,-0.254267,-2.554642,0.400000
-1.831420,-0.320918,-2.555946,0.400000
-1.938665,-0.385994,-2.557582,0.400000
-2.034435,-0.446160,-2.558721,0.400000
-2.129979,-0.502551,-2.565694,0.400000
-2.233957,-0.574522,-2.560802,0.400000
-2.329355,-0.644728,-2.556559,0.400000
-2.445699,-0.723619,-2.554152,0.400000
-2.542026,-0.787239,-2.553342,0.400000
-2.628143,-0.848880,-2.550469,0.400000
-2.713259,-0.907396,-2.550671,0.400000
-2.803395,-0.955027,-2.552516,0.400000
-2.893475,-1.024677,-2.547014,0.400000
-2.979221,-1.094073,-2.533217,0.400000
-3.078515,-1.169788,-2.511070,0.400000
-3.171589,-1.235514,-2.502085,0.400000
-3.259128,-1.304019,-2.495042,0.400000
-3.356800,-1.376245,-2.490386,0.400000
-3.457275,-1.449240,-2.467856,0.400000
-3.552081,-1.523819,-2.347459,0.400000
-3.630272,-1.622729,-2.211164,0.400000
-3.693398,-1.729612,-2.152682,0.400000
-3.761769,-1.835019,-2.117970,0.400000
-3.820517,-1.932904,-2.020747,0.400000
-3.885513,-2.040248,-1.906194,0.400000
-3.940150,-2.165972,-1.775968,0.400000
-3.961102,-2.285050,-1.696241,0.400000
-3.963668,-2.403539,-1.681246,0.400000
-3.959863,-2.523683,-1.668724,0.400000
-3.960533,-2.627602,-1.650581,0.400000
-3.956247,-2.736496,-1.529871,0.400000
-3.938946,-2.850836,-1.396947,0.400000
-3.896792,-2.961966,-1.261041,0.400000
-3.843899,-3.056503,-1.215069,0.400000
-3.804335,-3.157183,-1.221873,0.400000
-3.763566,-3.249733,-1.216312,0.400000
-3.728681,-3.369415,-1.225182,0.400000
-3.688252,-3.470822,-1.218689,0.400000
-3.632508,-3.576653,-1.203187,0.400000
-3.568446,-3.670565,-1.183612,0.400000
-3.504243,-3.783367,-1.159521,0.400000
-3.429650,-3.884084,-1.095734,0.400000
-3.334328,-3.981718,-0.927188,0.400000
-3.239930,-4.055035,-0.788284,0.400000
-3.139057,-4.133601,-0.767504,0.400000
-3.048528,-4.196122,-0.740161,0.400000
-2.927833,-4.255770,-0.576902,0.400000
-2.826628,-4.291255,-0.457025,0.400000
-2.708099,-4.295207,-0.318618,0.400000
-2.607951,-4.288089,-0.273199,0.400000
-2.488732,-4.269478,-0.215785,0.400000
-2.393027,-4.239695,-0.163243,0.400000
-2.289484,-4.230518,-0.080973,0.400000
-2.159454,-4.213314,0.075526,0.400000
-2.045778,-4.183239,0.214922,0.400000
-1.940449,-4.135447,0.243129,0.400000
-1.846607,-4.077422,0.267600,0.400000
-1.751223,-4.029138,0.323423,0.400000
-1.649728,-3.981243,0.453314,0.400000
-1.549524,-3.909373,0.547549,0.400000
-1.459412,-3.842549,0.540681,0.400000
-1.360329,-3.778289,0.533080,0.400000
-1.264286,-3.708075,0.532023,0.400000
-1.174681,-3.653357,0.550585,0.400000
-1.086916,-3.596397,0.650195,0.400000
-1.002844,-3.527988,0.693672,0.400000
-0.909470,-3.438289,0.697500,0.400000
-0.818806,-3.339417,0.719764,0.400000
-0.735613,-3.262243,0.720584,0.400000
-0.648404,-3.193082,0.645387,0.400000
-0.538944,-3.115418,0.623937,0.400000
-0.443123,-3.030343,0.638448,0.400000
-0.356777,-2.935746,0.664068,0.400000
-0.283154,-2.838467,0.698474,0.400000
-0.219975,-2.754759,0.722569,0.400000
-0.141407,-2.683902,0.715790,0.400000
-0.073084,-2.607850,0.726152,0.400000
0.020332,-2.542711,0.714670,0.400000
0.085066,-2.463956,0.725449,0.400000
0.156765,-2.378340,0.738178,0.400000
0.247964,-2.315689,0.721860,0.400000
0.341374,-2.228735,0.725692,0.400000
0.420226,-2.136412,0.745888,0.400000
0.504575,-2.059615,0.742774,0.400000
0.584659,-1.989698,0.737601,0.400000
0.664227,-1.910689,0.740775,0.400000
0.750018,-1.831603,0.744176,0.400000
0.852003,-1.761269,0.728507,0.400000
0.935526,-1.693184,0.717738,0.400000
1.019200,-1.636060,0.700146,0.400000
1.129909,-1.564329,0.686128,0.400000
1.220820,-1.493675,0.685173,0.400000
1.307519,-1.429329,0.681195,0.400000
1.406413,-1.368381,0.665847,0.400000
1.501237,-1.299582,0.666778,0.400000
1.604273,-1.239259,0.647068,0.400000
1.701981,-1.179414,0.637952,0.400000
1.784403,-1.119444,0.633593,0.400000
1.877103,-1.061652,0.623497,0.400000
1.966120,-1.007495,0.701012,0.400000
2.057112,-0.940978,0.814870,0.400000
2.138942,-0.866741,0.930143,0.400000
2.195598,-0.768026,1.064374,0.400000
